hscode,production_stage,attribution_reason,reviewer,review_date,confidence,dominant_use_rationale,mixed_use_flag,evidence_note
2921,intermediate input,"Processed chemical compound, reagent, or industrial formulation (AMINE) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (AMINE) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2922,intermediate input,"Processed chemical compound, reagent, or industrial formulation (OXYGEN) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (OXYGEN) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2924,intermediate input,"Processed chemical compound, reagent, or industrial formulation (CRBOXYAMIDE) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (CRBOXYAMIDE) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2933,intermediate input,"Processed chemical compound, reagent, or industrial formulation (HETEROCYCLIC COMPOUNDS WITH NITROGEN) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (HETEROCYCLIC COMPOUNDS WITH NITROGEN) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2934,intermediate input,"Processed chemical compound, reagent, or industrial formulation (MUCIEIC ACIDS AND THEIR SALTS W/N CHEMICALLYDEFINED , OTHER) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (MUCIEIC ACIDS AND THEIR SALTS W/N CHEMICALLYDEFINED , OTHER) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2941,intermediate input,"Processed chemical compound, reagent, or industrial formulation (ANTIBIOTICS) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (ANTIBIOTICS) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2942,intermediate input,"Processed chemical compound, reagent, or industrial formulation (OTHER ORGANIC COMPOUNDS) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (OTHER ORGANIC COMPOUNDS) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
3002,finished product,"Formulated pharmaceutical dosage, biologic, or packaged medicament (HUMN,ANML,BLD FR MDCNL USE; MDFD IMUNLGCL PRDT W/N_BITECH PRCS;VCCNS,TXNS,CLTR_MCRGNSM,ETHER SMLR P; CELL CLTR ,W/N MDFD) ready for healthcare administration and retail dispensing.",Methodology Team,2026-07-22,4,"Formulated pharmaceutical dosage, biologic, or packaged medicament (HUMN,ANML,BLD FR MDCNL USE; MDFD IMUNLGCL PRDT W/N_BITECH PRCS;VCCNS,TXNS,CLTR_MCRGNSM,ETHER SMLR P; CELL CLTR ,W/N MDFD) ready for healthcare administration and retail dispensing.",false,"Finished therapeutic product and dosage formulation supplied directly to clinics, hospitals, and pharmacies."
3004,finished product,"Formulated pharmaceutical dosage, biologic, or packaged medicament (MDCMNTS (EXCL ITMS OF 3002,3005 / 3006) FR THRPUTC/PRPHYLCTC USES IN MEASURD DOSESOR IN PCKNGS FR RTL SALE) ready for healthcare administration and retail dispensing.",Methodology Team,2026-07-22,4,"Formulated pharmaceutical dosage, biologic, or packaged medicament (MDCMNTS (EXCL ITMS OF 3002,3005 / 3006) FR THRPUTC/PRPHYLCTC USES IN MEASURD DOSESOR IN PCKNGS FR RTL SALE) ready for healthcare administration and retail dispensing.",false,"Finished therapeutic product and dosage formulation supplied directly to clinics, hospitals, and pharmacies."
3102,intermediate input,"Processed chemical compound, reagent, or industrial formulation (MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
3104,intermediate input,"Processed chemical compound, reagent, or industrial formulation (MINERAL OR CHEMICAL FERTILISERS, POTASSIC) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (MINERAL OR CHEMICAL FERTILISERS, POTASSIC) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
