hscode,sector,import_type,import_reason,buildability_category,best_lever,time_horizon,technology_complexity,input_dependency,domestic_capacity_proxy,confidence,realistic_reduction_low_pct,realistic_reduction_high_pct,notes
7204,Base metals,raw material,"Electric-arc steelmaking and foundries need more quality scrap than formal domestic collection supplies.",recoverable,recycling,1–3 years,medium,low,"Large steel recycling demand; fragmented vehicle and construction scrap collection",5,20,40,"Formal collection, sorting and end-of-life vehicle channels can create a relatively fast net lever."
7602,Base metals,raw material,"Secondary aluminium capacity needs clean scrap that domestic recovery systems do not supply at scale.",recoverable,recycling,1–3 years,medium,low,"Large aluminium fabricating base and established recyclers",5,20,40,"Better segregation and quality standards can displace imports without primary-mining expansion."
7102,Gems and jewellery,raw material,"India's cutting and polishing export industry relies on imported rough diamonds.",structurally imported,export upgrading,3–7 years,high,high,"World-scale cutting and polishing cluster",5,0,10,"Imports are productive inputs with a large export offset; value-add and export recovery matter more than cutting imports."
8473,Electronics,intermediate component,"Computer and office-machine assembly relies on imported specialised parts and subassemblies.",partly buildable,domestic manufacturing,3–7 years,high,high,"Growing EMS and final-product assembly base",3,15,30,"Supplier qualification and scale are the main constraints."
1512,Edible oils,agricultural commodity,"Sunflower and safflower oil demand exceeds domestic oilseed production and crush economics.",growable,crop-yield expansion,5–10 years,medium,medium,"Existing oilseed farms and crushing capacity",4,10,20,"Yield expansion and crop switching have land and farmer-income trade-offs."
7404,Base metals,raw material,"Copper fabricators and smelters require more consistent scrap than domestic collection provides.",recoverable,recycling,1–3 years,medium,low,"Large informal recovery sector and formal smelting capacity",5,20,40,"Traceability, sorting and formalisation can turn domestic waste into usable industrial feedstock."
3901,Petrochemicals,intermediate component,"Polyethylene demand exceeds domestic grade mix and cracker capacity.",partly buildable,domestic manufacturing,3–7 years,high,high,"Large petrochemical producers and converters",4,10,25,"New capacity can replace resin imports but often requires imported hydrocarbon feedstock."
8479,Industrial machinery,capital good,"Firms import specialised machinery where domestic volumes do not justify local designs or tooling.",partly buildable,domestic manufacturing,5–10 years,high,medium,"Broad machinery and engineering supplier base",3,10,25,"Focus on repeatable machine families; one-off equipment imports are often productive and efficient."
2713,Energy,intermediate component,"Cement, metals and industrial users import petroleum coke grades and volumes tied to global refining.",substitutable,demand shaping,3–7 years,medium,medium,"Large cement sector with alternative-fuel capability",4,10,25,"Waste-derived fuels and process efficiency can substitute demand, subject to emissions constraints."
2809,Chemicals,raw material,"Fertiliser and chemical production depend on phosphate rock and acid chains with limited domestic resources.",structurally imported,sourcing diversification,5–10 years,high,high,"Large fertiliser conversion capacity; weak phosphate resource base",4,5,15,"Overseas supply security and nutrient efficiency are more realistic than full localisation."
0713,Agriculture,agricultural commodity,"Pulse demand periodically exceeds domestic harvests because of yield, acreage and weather volatility.",growable,crop-yield expansion,3–7 years,medium,low,"Large pulse-growing base across central and western India",4,15,30,"Seeds, irrigation, storage and price signals can raise supply; climate variability remains material."
7402,Base metals,intermediate component,"Copper refining and fabrication demand exceed available domestic concentrate and anode supply.",partly buildable,domestic manufacturing,3–7 years,high,high,"Domestic refining and fabrication capacity",3,10,20,"Smelting can be localised, but imported concentrate limits the net-deficit gain."
3904,Petrochemicals,intermediate component,"PVC demand from construction and infrastructure exceeds domestic resin and feedstock capacity.",partly buildable,domestic manufacturing,3–7 years,high,high,"Large converters and planned resin capacity",4,15,30,"Domestic resin production can replace finished resin imports but retains feedstock dependence."
