8428,8537,crane control panel & VFD,Machinery pilot input investigation,unknown,8537,"Product-level evidence is needed for crane control panel, radio remote, VFD power module specifications, domestic capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.ieema.org/,2026-07-26,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8477,7218,special alloy barrel & screw steel,Machinery pilot input investigation,unknown,7218,"Product-level evidence is needed for alloy barrel and screw steel specifications, domestic nitriding and bimetallic capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.jindalstainless.com/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8477,8501,extruder & clamp servo motor,Machinery pilot input investigation,unknown,8501,"Product-level evidence is needed for extruder and clamp motor specifications, domestic servo motor capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.ieema.org/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8477,8480,moulding die & tooling,Machinery pilot input investigation,unknown,8480,"Product-level evidence is needed for moulding die and tooling specifications, domestic toolroom capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.tagmaindia.org/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8477,8537,machine controller & HMI,Machinery pilot input investigation,unknown,8537,"Product-level evidence is needed for machine controller, HMI, and PID module specifications, domestic integration capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.ieema.org/,2026-07-26,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8480,7218,mould steel & tool steel block,Machinery pilot input investigation,unknown,7218,"Product-level evidence is needed for mould steel and tool steel specifications, domestic alloy steel capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.jindalstainless.com/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8480,8466,CNC machining & EDM tooling,Machinery pilot input investigation,unknown,8466,"Product-level evidence is needed for CNC, EDM, 5-axis milling, and micro-EDM specifications, domestic machining capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.imtma.in/pages/138/annual-reports,2026-07-26,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8480,8483,mould base hardware & guide pins,Machinery pilot input investigation,unknown,8483,"Product-level evidence is needed for mould base hardware and guide pin specifications, domestic hardware capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.elecon.com/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8482,7218,bearing grade clean steel,Machinery pilot input investigation,unknown,7218,"Product-level evidence is needed for bearing-grade clean steel specifications, domestic steelmaking capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.jindalstainless.com/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8482,7326,forged ring blank & rolling element,Machinery pilot input investigation,unknown,7326,"Product-level evidence is needed for ring forging and rolling element specifications, domestic forging capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.bharatforge.com/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8482,8466,raceway grinding & superfinishing,Machinery pilot input investigation,unknown,8466,"Product-level evidence is needed for raceway grinding, superfinishing, assembly, and heat treatment specifications, domestic capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.imtma.in/pages/138/annual-reports,2026-07-26,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
